title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Forensic Files snip- Helle Crafts- #investigation #tvseries SEE DESCRIPTION âž¡ï¸(3 dots),VjwcrEwMS44, Show Snips,2024-02-09T16:38:03Z,"S1 Ep1
In this snip is the discovery of Helle Crafts who was missing.","#youtubeshorts,#classic,#drama",24,264,4,0,PT56S,hd,public
Best Forensic Files #funnyreels #comedy #truecrime #podcast,3iTmpMHHqG4,217 Problems,2024-02-06T17:53:22Z,,,19,68,3,0,PT31S,hd,public
Forensic Files - The Sniper's Trail,95-2xMAkEWk,7s0x,2020-11-14T22:47:55Z,Forensic Files -The Sniper's Trail Season 7 episode 40.,"Forensic files missing episodes,forensic files,The snipers trail,John Allen Muhammad,Lee Boyd Malvo,DC SHOOTING,US Shooting case,us sniper killer,forensic files season 7",24,36136,331,28,PT20M39S,sd,public
I have watch all the 16 Season of Forensic Files. I guess I have an idea ðŸ˜‚ðŸ˜‚,719wU8G9YtI,A Taste of Joy too,2023-10-23T19:24:04Z,#friend #motivation #tractors #sweetpotato  #quotes #fyp #forensicfiles #garden #tater #friendship #quotes,,22,9852,193,7,PT8S,hd,public
"Lisa Discovered Stabbed to Death at Home (S2, E2) | Cold Case Files | Full Episode",RBuZ9kncxTo,A&E,2024-11-27T01:00:25Z,"When 36-year-old computer programmer Lisa Valdez fails to show up for work, her apartment manager finds her brutally murdered in her tiny studio, in Season 2, Episode 2, ""Devil at the Door.""

Stay up to date on all of A&E's premieres at aetv.com/schedule

#ColdCaseFiles

Catch up on past seasons of hit A&E series on A&E Crime Central, commercial free!: https://www.aecrimecentral.com/youtube

Subscribe for more from Cold Case Files and other great A&E shows:
http://aetv.us/subscribe-ae

Find out more about the show and watch full episodes on our site:
http://www.aetv.com/shows/cold-case-files-2017

Check out exclusive A&E content: 
Website - http://www.aetv.com/
Facebook: https://www.facebook.com/AETV/ 
Twitter: https://twitter.com/aetv 
Instagram: https://www.instagram.com/aetv 
TikTok: https://www.tiktok.com/@aetv 

""Cold Case Files"" chronicles the journeys of the detectives who reopen cold cases. The detectives uncover new twists and startling revelations using breakthroughs in forensic technology and the influence of social media to help crack the casesâ€”bringing long-awaited closure to the victim's families and friends.

A&E leads the cultural conversation through high-quality, thought provoking original programming with a unique point of view. Whether itâ€™s the networkâ€™s distinctive brand of award-winning disruptive reality, groundbreaking documentary, or premium scripted drama, A&Eâ€™s brave storytelling always makes entertainment an art. Visit us at aetv.com for more info.","a&e,aetv,a&e tv,ae,a&e television,a&e shows,a and e,a+e,the first 48,crime,true crime,crime investigation,solving crime,police,detectives,attorneys,police procedure,cold case files,cold case,murder investigation,true crime show,cold case files new episodes,watch cold case files,cold case files full episodes,cold case files solved,cold case files a&e,cold case files episodes,cold case files serial killer,cold case files full episode,full episode,stabbed",24,211231,3193,179,PT43M20S,hd,public
"DNA Reveals Murderer DECADES Later (S2, E27) | Cold Case Files | Full Episode",eXRa6dRLPHQ,A&E,2025-04-02T00:00:23Z,"In 1984, three-year-old Vanessa Bennett survives her family's brutal murder. Decades later, DNA finally identifies the killer in Season 2, Episode 27, ""Death of a Hero.""

Stay up to date on all of A&E's premieres at aetv.com/schedule
 
#ColdCaseFiles

Catch up on past seasons of hit A&E series on A&E Crime Central, commercial free!: https://www.aecrimecentral.com/youtube

Subscribe for more from Cold Case Files and other great A&E shows:
http://aetv.us/subscribe-ae

Find out more about the show and watch full episodes on our site:
http://www.aetv.com/shows/cold-case-files-2017

Check out exclusive A&E content: 
Website - http://www.aetv.com/
Facebook: https://www.facebook.com/AETV/ 
Twitter: https://twitter.com/aetv 
Instagram: https://www.instagram.com/aetv 
TikTok: https://www.tiktok.com/@aetv 

""Cold Case Files"" chronicles the journeys of the detectives who reopen cold cases. The detectives uncover new twists and startling revelations using breakthroughs in forensic technology and the influence of social media to help crack the casesâ€”bringing long-awaited closure to the victim's families and friends.
 
A&EÂ® leads the cultural conversation through high-quality, thought provoking original programming with a unique point of view. Whether itâ€™s the networkâ€™s distinctive brand of award-winning disruptive reality or groundbreaking documentary, A&E makes entertainment an art form. Visit us at aetv.com for more info.","a&e,aetv,a&e tv,ae,a&e television,a&e shows,a and e,a+e,the first 48,crime,true crime,crime investigation,solving crime,police,detectives,attorneys,police procedure,cold case files,cold case,murder investigation,true crime show,cold case files new episodes,watch cold case files,a&e full episodes,cold case files full episodes,cold case files a&e,cold case files solved,cold case files 2024,cold case files mega marathon,cold case files classic",24,122461,2445,128,PT43M15S,hd,public
Teen Twins Questioned After Their Mother's Brutal Death - Forensic Files,HLYs2lZ6Y0g,Å¤Å™Ã¼Ä™ Ã‡Å•Ã¯mÄ“ ÃÃ²Ã§Ã¹mÃ¨Å‹Å¥aries,2024-02-16T09:44:33Z,,,22,521,8,0,PT1M1S,hd,public
disney movie prepares future forensic files fans #shorts,oF3gHdhJJA4,Aisle H Video ,2025-03-17T21:31:11Z,#thegreatmousedetective #forensicfiles,,24,13799,220,12,PT21S,hd,public
Forensic Files End Credits (2003),9n7kwQqSBIQ,Alex the Fox Guy and Lou Grant Fan 2024,2025-03-08T17:09:47Z,,,1,76,0,0,PT1M15S,sd,public
Forensic Files Theme (2000),CEmw_2OAoig,Andile Ntozake,2024-03-23T21:53:11Z,,,22,50,1,0,PT23S,hd,public
